ID_MATERIELINFO,TYPE,MODELE,GES
BERLIN_MATERIEL_INFO_202404290,PC portable,ZBook,0.303
Paris_MATERIEL_INFO_202404290,PC portable,Latitude 5xxx,0.3
Paris_MATERIEL_INFO_202404291,imprimante,Laser à poser (<40kg),0.43
Paris_MATERIEL_INFO_202404292, ,Mac mini,0.27
Paris_MATERIEL_INFO_202404293,Telephone IP,modèle par défaut,0.017
Paris_MATERIEL_INFO_202404294,PC portable,Latitude 3xxx,0.22
Paris_MATERIEL_INFO_202404295,PC fixe tout-en-un,iMac pro,0.7000000000000001
Paris_MATERIEL_INFO_202404296,imprimante,Laser A3 (>100kg),1.8
Paris_MATERIEL_INFO_202404297, ,MacBook pro 15/16pouces,0.33
LONDON_MATERIEL_INFO_202404290,PC portable,MacBook air pre-retina,0.31
LONDON_MATERIEL_INFO_202404291,Serveur,Noeud de calcul,1.3
LONDON_MATERIEL_INFO_202404292,PC fixe sans ecran, ,0.35000000000000003
LONDON_MATERIEL_INFO_202404293,PC portable,MacBook air,0.25
LONDON_MATERIEL_INFO_202404294,PC portable,Latitude 5xxx,0.3
LONDON_MATERIEL_INFO_202404295,PC fixe sans ecran,Wyse thin client,0.069
LONDON_MATERIEL_INFO_202404296, ,ProBook ,0.226
LA_MATERIEL_INFO_202404290,Tablette,modèle par défaut,0.15
LA_MATERIEL_INFO_202404291,PC portable,MacBook air,0.25
LA_MATERIEL_INFO_202404293,PC fixe sans ecran,Precision tower 3xxx,0.28500000000000003
NewYork_MATERIEL_INFO_202404290,PC fixe sans ecran,ProDesk mini/DM,0.1
Shanghai_MATERIEL_INFO_202404290,Vidéo projecteur, ,0.094
