ID_MATERIELINFO,TYPE,MODELE,GES
BERLIN_MATERIEL_INFO_202404290,PC portable,ZBook,0.303
Paris_MATERIEL_INFO_202404290,PC portable,Latitude 5xxx,0.3
Paris_MATERIEL_INFO_202404291,imprimante,Laser à poser (<40kg),0.43
Paris_MATERIEL_INFO_202404292, ,Mac mini,0.27
Paris_MATERIEL_INFO_202404293,Telephone IP,modèle par défaut,0.017
Paris_MATERIEL_INFO_202404294,PC portable,Latitude 3xxx,0.22
Paris_MATERIEL_INFO_202404295,PC fixe tout-en-un,iMac pro,0.7000000000000001
Paris_MATERIEL_INFO_202404296,imprimante,Laser A3 (>100kg),1.8
Paris_MATERIEL_INFO_202404297, ,MacBook pro 15/16pouces,0.33
LONDON_MATERIEL_INFO_202404290,PC portable,MacBook air pre-retina,0.31
LONDON_MATERIEL_INFO_202404291,Serveur,Noeud de calcul,1.3
LONDON_MATERIEL_INFO_202404292,PC fixe sans ecran, ,0.35
LONDON_MATERIEL_INFO_202404293,PC portable,MacBook air,0.25
LONDON_MATERIEL_INFO_202404294,PC portable,Latitude 5xxx,0.3
LONDON_MATERIEL_INFO_202404295,PC fixe sans ecran,Wyse thin client,0.069
LONDON_MATERIEL_INFO_202404296, ,ProBook ,0.226
LA_MATERIEL_INFO_202404290,Tablette,modèle par défaut,0.15
LA_MATERIEL_INFO_202404291,PC portable,MacBook air,0.25
LA_MATERIEL_INFO_202404293,PC fixe sans ecran,Precision tower 3xxx,0.285
NewYork_MATERIEL_INFO_202404290,PC fixe sans ecran,ProDesk mini/DM,0.1
Shanghai_MATERIEL_INFO_202404290,Vidéo projecteur, ,0.094
BERLIN_MATERIEL_INFO_202404300,PC portable,Latitude 5xxx,0.3
BERLIN_MATERIEL_INFO_202404301,PC fixe sans ecran,Mac pro,0.9
BERLIN_MATERIEL_INFO_202404302,PC fixe sans ecran,Optiplex micro,0.174
BERLIN_MATERIEL_INFO_202404303,PC fixe sans ecran,modèle par défaut,0.35
BERLIN_MATERIEL_INFO_202404304,PC fixe tout-en-un,Mac pro,0.9
Paris_MATERIEL_INFO_202404300,PC portable, ,0.26
Paris_MATERIEL_INFO_202404301, ,modèle par défaut,0.3638875
Paris_MATERIEL_INFO_202404302,Ecran,32pouces et plus,0.59
Paris_MATERIEL_INFO_202404303,PC portable,ZBook Studio,0.379
Paris_MATERIEL_INFO_202404304,PC fixe sans ecran,"Prodesk (Tower, SFF)",0.322
LONDON_MATERIEL_INFO_202404300,Serveur,Modèle par défaut,1.3
LONDON_MATERIEL_INFO_202404301,PC fixe sans ecran,Optiplex tower,0.26
LONDON_MATERIEL_INFO_202404302,Serveur,Modèle par défaut,1.3
LONDON_MATERIEL_INFO_202404303,PC fixe sans ecran,Wyse thin client,0.069
LONDON_MATERIEL_INFO_202404304,PC fixe tout-en-un,iMac pro,0.7000000000000001
LONDON_MATERIEL_INFO_202404305,imprimante, ,0.5
LONDON_MATERIEL_INFO_202404306,PC fixe sans ecran,"Elite (Tower, SFF, One)",0.393
LONDON_MATERIEL_INFO_202404307,PC portable,ZBook Studio,0.379
LONDON_MATERIEL_INFO_202404308,Tablette,modèle par défaut,0.15
LONDON_MATERIEL_INFO_202404309,Vidéo projecteur,modèle par défaut,0.094
LONDON_MATERIEL_INFO_2024043010,Serveur,Noeud de calcul,1.3
LA_MATERIEL_INFO_202404300,PC portable,ProBook ,0.226
NewYork_MATERIEL_INFO_202404300, ,iMac 21pouces,0.29
NewYork_MATERIEL_INFO_202404301,PC fixe tout-en-un,Optiplex All-in-One 3xxx,0.241
NewYork_MATERIEL_INFO_202404302,Telephone IP,modèle par défaut,0.017
NewYork_MATERIEL_INFO_202404303,PC fixe sans ecran,"Elite (Tower, SFF, One)",0.393
NewYork_MATERIEL_INFO_202404304,PC fixe sans ecran,ZHAN,0.264
NewYork_MATERIEL_INFO_202404305,PC fixe tout-en-un,Mac pro,0.9
NewYork_MATERIEL_INFO_202404306,PC fixe sans ecran,Station de travail (moy),0.6
Shanghai_MATERIEL_INFO_202404300,Vidéo projecteur,Pour amphi,0.2
Shanghai_MATERIEL_INFO_202404301,PC fixe tout-en-un,iMac 21pouces retina,0.3
Shanghai_MATERIEL_INFO_202404302,PC portable,ZBook Studio,0.379
Shanghai_MATERIEL_INFO_202404303,PC fixe tout-en-un,Mac pro,0.9
Shanghai_MATERIEL_INFO_202404304,PC fixe sans ecran,Mac mini,0.27
Shanghai_MATERIEL_INFO_202404305, ,modèle par défaut,0.3638875
Shanghai_MATERIEL_INFO_202404306,PC portable,Chromebook 11-13pouces,0.175
Shanghai_MATERIEL_INFO_202404307, ,Precision 5xxx,0.28
Shanghai_MATERIEL_INFO_202404308,PC portable,modèle par défaut,0.26
BERLIN_MATERIEL_INFO_202405010,imprimante,Laser A3 (40-99kg),0.96
BERLIN_MATERIEL_INFO_202405011, ,24pouces-31pouces,0.43
BERLIN_MATERIEL_INFO_202405012,Ecran,jusqu'à 23pouces,0.35
Paris_MATERIEL_INFO_202405010,PC portable,Moyenne 17pouces,0.365
Paris_MATERIEL_INFO_202405011,PC portable,OMEN ,0.29
Paris_MATERIEL_INFO_202405012,PC fixe sans ecran,"Elite (Tower, SFF, One)",0.393
Paris_MATERIEL_INFO_202405013,Borne wifi,modèle par défaut,0.01
Paris_MATERIEL_INFO_202405014, ,EliteDesk DM,0.23
Paris_MATERIEL_INFO_202405015,PC portable, ,0.26
Paris_MATERIEL_INFO_202405016,PC fixe sans ecran,Mac pro,0.9
Paris_MATERIEL_INFO_202405017,PC portable,Moyenne 14/15pouces,0.294
Paris_MATERIEL_INFO_202405018,PC portable, ,0.26
