departure,destination,distance_km
Compiègne,Paris,71.81133353758679
Berlin,Paris,879.3410733818964
Berlin,Washington,6728.9304744801175
Shanghai,Lille,9114.63296035903
Berlin,Berlin,0.0
Berlin,Buenos Aires,11889.990567851635
Berlin,Lima,11091.657886932951
Berlin,Dubaï,4623.488129709805
Berlin,Alger,1927.1542636417803
Berlin,Shanghai,8416.673632916669
Berlin,Helsinki,1108.7971131558588
Los Angeles,Vancouver,1736.1159505940914
Berlin,Osaka,8839.072336771467
Los Angeles,Lima,6711.826923614116
Berlin,Mexico,9519.454930163112
Berlin,Bogota,9423.953017834565
Berlin,Tunis,1763.89786555461
Berlin,Rabat,2611.500092011468
Berlin,New-York,6402.514986254316
Paris,Rio de Janeiro,9144.991745378726
Paris,Helsinki,1913.4650686483587
Paris,Tunis,1482.5227724140125
Paris,Oslo,1343.8971167540449
Paris,London,342.97796852283767
Paris,Vancouver,7946.33544127865
Paris,Paris,0.0
Paris,Marseille,660.3147713621365
Paris,Mexico,9046.841760279274
Paris,New-York,5852.809976958794
Paris,Lima,10246.871549719706
Paris,Auckland,18538.47123458744
Paris,Rabat,1814.2918642331097
Paris,Buenos Aires,11028.48074754714
Paris,Wellington,18979.84881224772
Paris,Bordeaux,498.7388490051033
Paris,Bogota,8623.048481151187
Paris,Lille,204.9061679313438
New-York,Tokyo,10871.30390629476
Paris,Dubaï,5250.439492898422
Shanghai,Marseille,9506.637670601836
London,Los Angeles,8776.952002512147
London,Tunis,1825.3323787417955
London,Auckland,18329.294145223284
London,London,0.0
London,Sidney,16991.297262714936
London,Dubaï,5477.441206444831
London,Sao Paulo,9470.543214732998
Paris,Osaka,9657.012150036717
London,Oslo,1157.835339271981
London,Washington,5913.366673966141
Paris,Pekin,8214.661946484437
London,Lima,10159.994262315617
Los Angeles,Washington,3700.1706744216353
Los Angeles,Pekin,10060.094945094896
Los Angeles,Bogota,5594.871406471787
Los Angeles,Lille,9005.998733265542
Los Angeles,Berlin,9332.43236340017
Los Angeles,Rabat,9627.759863573512
Los Angeles,Shanghai,10455.097330393071
Los Angeles,Melbourne,12764.21518458997
Los Angeles,Auckland,10477.781479216012
New-York,Buenos Aires,8491.080262457663
New-York,Wellington,14393.858378551806
New-York,Helsinki,6637.051442320846
New-York,Pekin,10982.952420309024
New-York,Oslo,5930.22396853846
New-York,Marseille,6321.216835998189
New-York,Sao Paulo,7657.83612702027
Shanghai,Melbourne,8024.13820965112
New-York,Melbourne,16672.002992026955
New-York,Auckland,14186.079388885595
New-York,Dubaï,11024.343308051348
New-York,New-York,0.0
New-York,Lima,5850.977498996038
New-York,Washington,328.7275182917685
New-York,Mexico,3224.277085343924
New-York,Stockholm,6337.60130174518
Shanghai,Sao Paulo,18570.43821145717
Shanghai,Wellington,9717.336899593118
Shanghai,Oslo,8104.9302528045055
Shanghai,Mexico,12375.262560484663
Shanghai,Rio de Janeiro,18248.47774281572
Shanghai,Lima,17166.809477509054
Shanghai,Helsinki,7391.49728784277
Shanghai,Dubaï,6433.022799352684
Shanghai,New-York,11881.742399749322
Shanghai,Rabat,10983.304790463582
Shanghai,Stockholm,7781.337629498025
